Index	Title	Pmid	PubYear	LastAuthor	ArticleID	TableID	NeuronName	NeuronLongName	NeuronPrefName	NeuroNERAnnots	BrainRegion	MetadataCurated	Species	Strain	ElectrodeType	PrepType	JxnPotential	JxnOffset	RecTemp	AnimalAge	AnimalWeight	FlagSoln	ExternalSolution	ExternalSolution_conf	external_0_Mg	external_0_Ca	external_0_Na	external_0_Cl	external_0_K	external_0_pH	InternalSolution	InternalSolution_conf	internal_0_Mg	internal_0_Ca	internal_0_Na	internal_0_Cl	internal_0_K	internal_0_pH	MetadataNote	TableNote	rin	rin_raw	rin_err	rin_n	rin_sd	rin_note	rmp	rmp_raw	rmp_err	rmp_n	rmp_sd	rmp_note	apthr	apthr_raw	apthr_err	apthr_n	apthr_sd	apthr_note	apamp	apamp_raw	apamp_err	apamp_n	apamp_sd	apamp_note	aphw	aphw_raw	aphw_err	aphw_n	aphw_sd	aphw_note	tau	tau_raw	tau_err	tau_n	tau_sd	tau_note	ahpamp	ahpamp_raw	ahpamp_err	ahpamp_n	ahpamp_sd	ahpamp_note	cap	cap_raw	cap_err	cap_n	cap_sd	cap_note	apwidth	apwidth_raw	apwidth_err	apwidth_n	apwidth_sd	apwidth_note	apfreq	apfreq_raw	apfreq_err	apfreq_n	apfreq_sd	apfreq_note	rheo	rheo_raw	rheo_err	rheo_n	rheo_sd	rheo_note	ahpdur	ahpdur_raw	ahpdur_err	ahpdur_n	ahpdur_sd	ahpdur_note	sagratio	sagratio_raw	sagratio_err	sagratio_n	sagratio_sd	sagratio_note	maxfreq	maxfreq_raw	maxfreq_err	maxfreq_n	maxfreq_sd	maxfreq_note	apriseslope	apriseslope_raw	apriseslope_err	apriseslope_n	apriseslope_sd	apriseslope_note	fahpamp	fahpamp_raw	fahpamp_err	fahpamp_n	fahpamp_sd	fahpamp_note	spontfreq	spontfreq_raw	spontfreq_err	spontfreq_n	spontfreq_sd	spontfreq_note	appeak	appeak_raw	appeak_err	appeak_n	appeak_sd	appeak_note	apriset	apriset_raw	apriset_err	apriset_n	apriset_sd	apriset_note	apdecayslope	apdecayslope_raw	apdecayslope_err	apdecayslope_n	apdecayslope_sd	apdecayslope_note	apdelay	apdelay_raw	apdelay_err	apdelay_n	apdelay_sd	apdelay_note	fislope	fislope_raw	fislope_err	fislope_n	fislope_sd	fislope_note	adratio	adratio_raw	adratio_err	adratio_n	adratio_sd	adratio_note	apamprest	apamprest_raw	apamprest_err	apamprest_n	apamprest_sd	apamprest_note	other	other_raw	other_err	other_n	other_sd	other_note	sagamp	sagamp_raw	sagamp_err	sagamp_n	sagamp_sd	sagamp_note	sahpamp	sahpamp_raw	sahpamp_err	sahpamp_n	sahpamp_sd	sahpamp_note	apdecayt	apdecayt_raw	apdecayt_err	apdecayt_n	apdecayt_sd	apdecayt_note	accres	accres_raw	accres_err	accres_n	accres_sd	accres_note	adratioinv	adratioinv_raw	adratioinv_err	adratioinv_n	adratioinv_sd	adratioinv_note	adpamp	adpamp_raw	adpamp_err	adpamp_n	adpamp_sd	adpamp_note	ahpamprest	ahpamprest_raw	ahpamprest_err	ahpamprest_n	ahpamprest_sd	ahpamprest_note	mahpamp	mahpamp_raw	mahpamp_err	mahpamp_n	mahpamp_sd	mahpamp_note	fahpdur	fahpdur_raw	fahpdur_err	fahpdur_n	fahpdur_sd	fahpdur_note	ahpvolt	ahpvolt_raw	ahpvolt_err	ahpvolt_n	ahpvolt_sd	ahpvolt_note	sahpdur	sahpdur_raw	sahpdur_err	sahpdur_n	sahpdur_sd	sahpdur_note	celldiam	celldiam_raw	celldiam_err	celldiam_n	celldiam_sd	celldiam_note	adpctother	adpctother_raw	adpctother_err	adpctother_n	adpctother_sd	adpctother_note	adpct	adpct_raw	adpct_err	adpct_n	adpct_sd	adpct_note	adpctminus	adpctminus_raw	adpctminus_err	adpctminus_n	adpctminus_sd	adpctminus_note	surfarea	surfarea_raw	surfarea_err	surfarea_n	surfarea_sd	surfarea_note	mahpdur	mahpdur_raw	mahpdur_err	mahpdur_n	mahpdur_sd	mahpdur_note	adratiominus	adratiominus_raw	adratiominus_err	adratiominus_n	adratiominus_sd	adratiominus_note	adpctinv	adpctinv_raw	adpctinv_err	adpctinv_n	adpctinv_sd	adpctinv_note	adpdur	adpdur_raw	adpdur_err	adpdur_n	adpdur_sd	adpdur_note	fahpvolt	fahpvolt_raw	fahpvolt_err	fahpvolt_n	fahpvolt_sd	fahpvolt_note	mahpamprest	mahpamprest_raw	mahpamprest_err	mahpamprest_n	mahpamprest_sd	mahpamprest_note	apamptrough	apamptrough_raw	apamptrough_err	apamptrough_n	apamptrough_sd	apamptrough_note	sahpamprest	sahpamprest_raw	sahpamprest_err	sahpamprest_n	sahpamprest_sd	sahpamprest_note	fahpamprest	fahpamprest_raw	fahpamprest_err	fahpamprest_n	fahpamprest_sd	fahpamprest_note	sahpvolt	sahpvolt_raw	sahpvolt_err	sahpvolt_n	sahpvolt_sd	sahpvolt_note	mahpvolt	mahpvolt_raw	mahpvolt_err	mahpvolt_n	mahpvolt_sd	mahpvolt_note
150	Cell type-specific effects of adenosine on cortical neurons.	24108800	2015	Feldmeyer D	88449	35984.0	Neocortex basket cell	 medial prefrontal cortex fast spiking interneuron	 medial prefrontal cortex fast spiking interneuron	[ABA_REGION:714, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneuron]	Isocortex	True	Rats	Rats, Wistar	Patch-clamp	in vitro	Unreported		30.0	33.2264954517			Slices were stored for up to 8 h in ACSF containing: 125 mM NaCl, 2.5 mM KCl, 1.25 mM NaH2PO4, 1 mM MgSO4, 2 mM CaCl2, 25 mM NaHCO3, and 25 mM glucose, bubbled with carbogen gas (95% O2/5% CO2).	5.0	1.0	2.0	151.25	131.5	2.5		Patch pipettes (4-8 MÎ©) were pulled from thick-wall borosilicate capillaries (outer diameter: 2 mm; inner diameter: 1 mm) and were filled with intracellular solution containing 135 mM K-gluconate, 4 mM KCl, 10 mM HEPES, 10 mM Na-phosphocreatine, and 4 mM ATP-Mg and 0.3 mM GTP-Na (pH adjusted to 7.3 with KOH; osmolarity, â¼300 mOsm).	5.0	4.0		20.3	4.0	139.0	7.3		there are 3 different ISI ratios; I only used the first one as adaptation ratio	178.0	178.0	11.0	14.0	41.1582312545		-72.2	-72.2	1.3	14.0	4.86415460281														0.38	0.38	0.03	14.0	0.112249721603		7.9	7.9	0.5	14.0	1.87082869339																										176.0	176.0	15.0	14.0	56.1248608016																																																															40.9					0.96	0.96	0.04	14.0	0.149666295471																																																																																																																																																																															
149	Cell type-specific effects of adenosine on cortical neurons.	24108800	2015	Feldmeyer D	88449	35984.0	Neocortex Martinotti cell	medial prefrontal cortex low-threshold spiking interneuron	medial prefrontal cortex low-threshold spiking interneuron	[ABA_REGION:714, HBP_EPHYS:0000110, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneuron]	Isocortex	True	Rats	Rats, Wistar	Patch-clamp	in vitro	Unreported		30.0	33.2264954517			Slices were stored for up to 8 h in ACSF containing: 125 mM NaCl, 2.5 mM KCl, 1.25 mM NaH2PO4, 1 mM MgSO4, 2 mM CaCl2, 25 mM NaHCO3, and 25 mM glucose, bubbled with carbogen gas (95% O2/5% CO2).	5.0	1.0	2.0	151.25	131.5	2.5		Patch pipettes (4-8 MÎ©) were pulled from thick-wall borosilicate capillaries (outer diameter: 2 mm; inner diameter: 1 mm) and were filled with intracellular solution containing 135 mM K-gluconate, 4 mM KCl, 10 mM HEPES, 10 mM Na-phosphocreatine, and 4 mM ATP-Mg and 0.3 mM GTP-Na (pH adjusted to 7.3 with KOH; osmolarity, â¼300 mOsm).	5.0	4.0		20.3	4.0	139.0	7.3		there are 3 different ISI ratios; I only used the first one as adaptation ratio	361.0	361.0	58.0	5.0	129.691942695		-66.3	-66.3	1.9	5.0	4.24852915725														0.79	0.79	0.05	5.0	0.111803398875		27.4	27.4	5.2	5.0	11.627553483																										28.0	28.0	9.0	5.0	20.1246117975																																																															13.6					0.43	0.43	0.09	5.0	0.201246117975																																																																																																																																																																															
151	Cell type-specific effects of adenosine on cortical neurons.	24108800	2015	Feldmeyer D	88449	35984.0	Neocortex basket cell	somatosensory cortex fast-firing interneuron	somatosensory cortex fast-firing interneuron	[ABA_REGION:453, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000004, NeuronTrigger:interneuron]	Isocortex	True	Rats	Rats, Wistar	Patch-clamp	in vitro	Unreported		30.0	33.2264954517			Slices were stored for up to 8 h in ACSF containing: 125 mM NaCl, 2.5 mM KCl, 1.25 mM NaH2PO4, 1 mM MgSO4, 2 mM CaCl2, 25 mM NaHCO3, and 25 mM glucose, bubbled with carbogen gas (95% O2/5% CO2).	5.0	1.0	2.0	151.25	131.5	2.5		Patch pipettes (4-8 MÎ©) were pulled from thick-wall borosilicate capillaries (outer diameter: 2 mm; inner diameter: 1 mm) and were filled with intracellular solution containing 135 mM K-gluconate, 4 mM KCl, 10 mM HEPES, 10 mM Na-phosphocreatine, and 4 mM ATP-Mg and 0.3 mM GTP-Na (pH adjusted to 7.3 with KOH; osmolarity, â¼300 mOsm).	5.0	4.0		20.3	4.0	139.0	7.3		there are 3 different ISI ratios; I only used the first one as adaptation ratio	135.0	135.0	26.0	4.0	52.0		-68.0	-68.0	1.3	4.0	2.6														0.2	0.2	0.02	4.0	0.04		8.0	8.0	0.8	4.0	1.6																										163.0	163.0	43.0	4.0	86.0																																																															46.6					0.7	0.7	0.07	4.0	0.14																																																																																																																																																																															
152	Cell type-specific effects of adenosine on cortical neurons.	24108800	2015	Feldmeyer D	88449	35984.0	Neocortex interneuron deep	somatosensory cortex non-fast firing interneuron	somatosensory cortex non-fast firing interneuron	[ABA_REGION:453, HBP_EPHYS:0000090, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000004, NeuronTrigger:interneuron]		True	Rats	Rats, Wistar	Patch-clamp	in vitro	Unreported		30.0	33.2264954517			Slices were stored for up to 8 h in ACSF containing: 125 mM NaCl, 2.5 mM KCl, 1.25 mM NaH2PO4, 1 mM MgSO4, 2 mM CaCl2, 25 mM NaHCO3, and 25 mM glucose, bubbled with carbogen gas (95% O2/5% CO2).	5.0	1.0	2.0	151.25	131.5	2.5		Patch pipettes (4-8 MÎ©) were pulled from thick-wall borosilicate capillaries (outer diameter: 2 mm; inner diameter: 1 mm) and were filled with intracellular solution containing 135 mM K-gluconate, 4 mM KCl, 10 mM HEPES, 10 mM Na-phosphocreatine, and 4 mM ATP-Mg and 0.3 mM GTP-Na (pH adjusted to 7.3 with KOH; osmolarity, â¼300 mOsm).	5.0	4.0		20.3	4.0	139.0	7.3		there are 3 different ISI ratios; I only used the first one as adaptation ratio	83.0	83.0	13.0	6.0	31.8433666562		-65.0	-65.0	0.4	6.0	0.979795897113														0.37	0.37	0.04	6.0	0.0979795897113		7.4	7.4	0.6	6.0	1.46969384567																										234.0	234.0	52.0	6.0	127.373466625																																																															11.6					0.15	0.15	0.02	6.0	0.0489897948557																																																																																																																																																																															
88	Age-related changes to layer 3 pyramidal cells in the rhesus monkey visual cortex.	24323499	2015	Peters A	88469	36033.0	Neocortex pyramidal cell layer 2-3	Primary visual cortex layer 3 pyramidal aged neurons	Primary visual cortex layer 3 pyramidal aged neurons	[ABA_REGION:385, HBP_LAYER:0000003, HBP_MORPHOLOGY:0000001, HBP_DEVELOPMENTAL:0000008, NeuronTrigger:neurons]	Isocortex	True	Macaca mulatta	Other	Patch-clamp	in vitro	Unreported		22.0	8468.0			The block was then cut into 300-Âµm thick coronal slices in ice-cold Ringer's solution (concentrations, in mM: 26 NaHCO3, 124 NaCl, 2 KCl, 3 KH2PO4, 2.5 CaCl2, 10 glucose, 1.3 MgCl2; pH 7.4; Sigma-Aldrich) on a vibrating microtome.	5.0	1.3	2.5	150.0	133.6	5.0	7.4	Electrodes contained a potassium methanesulfonate-based internal solution (concentrations, in mM: 122 KCH3SO3, 2 MgCl2, 5 EGTA, 10 NaHEPES, 1% biocytin; pH 7.4; Sigma-Aldrich), and had resistances of 3-6 MÎ© in the external Ringer's solution.	5.0	2.0		10.0	4.0	122.0	7.4			291.0	291.0	27.0	26.0	137.673526867		-64.3	-64.3	1.0	26.0	5.09901951359		-41.1	-41.1	0.7	26.0	3.56931365951		73.2	73.2	1.9	26.0	9.68813707583		1.57	1.57	0.06	26.0	0.305941170816		25.7	25.7	3.0	26.0	15.2970585408																				11.5	11.5	1.4	26.0	7.13862731903	80-pA step	89.8	89.8	13.2	26.0	67.3070575794																																												0.98	0.98	0.04	26.0	0.203960780544																																												1.71	-1.71	0.28	26.0	1.42772546381		2.27	2.27	0.1	26.0	0.509901951359																										9.93	-9.93	0.37	26.0	1.88663722003														659.0	659.0	42.0	26.0	214.158819571																																52.6	52.6	6.5	26.0	33.1436268384																																																													
89	Age-related changes to layer 3 pyramidal cells in the rhesus monkey visual cortex.	24323499	2015	Peters A	88469	36033.0	Neocortex pyramidal cell layer 2-3	Primary visual cortex layer 3 pyramidal young neurons	Primary visual cortex layer 3 pyramidal young neurons	[ABA_REGION:385, HBP_LAYER:0000003, HBP_MORPHOLOGY:0000001, HBP_DEVELOPMENTAL:0000003, NeuronTrigger:neurons]	Isocortex	True	Macaca mulatta	Other	Patch-clamp	in vitro	Unreported		22.0	3102.5			The block was then cut into 300-Âµm thick coronal slices in ice-cold Ringer's solution (concentrations, in mM: 26 NaHCO3, 124 NaCl, 2 KCl, 3 KH2PO4, 2.5 CaCl2, 10 glucose, 1.3 MgCl2; pH 7.4; Sigma-Aldrich) on a vibrating microtome.	5.0	1.3	2.5	150.0	133.6	5.0	7.4	Electrodes contained a potassium methanesulfonate-based internal solution (concentrations, in mM: 122 KCH3SO3, 2 MgCl2, 5 EGTA, 10 NaHEPES, 1% biocytin; pH 7.4; Sigma-Aldrich), and had resistances of 3-6 MÎ© in the external Ringer's solution.	5.0	2.0		10.0	4.0	122.0	7.4			285.0	285.0	25.5	30.0	139.669252164		-65.8	-65.8	0.83	30.0	4.54609722729		-41.8	-41.8	0.74	30.0	4.05314692554		71.0	71.0	1.6	30.0	8.76356092008		1.44	1.44	0.05	30.0	0.273861278753		28.4	28.4	2.9	30.0	15.8839541676																				12.9	12.9	1.2	30.0	6.57267069006	80-pA step	87.2	87.2	11.5	30.0	62.9880941131																																												0.91	0.91	0.03	30.0	0.164316767252																																												2.23	-2.23	0.49	30.0	2.68384053178		2.12	2.12	0.07	30.0	0.383405790254																										10.8	-10.8	0.66	30.0	3.61496887953														691.0	691.0	23.0	30.0	125.976188226																																67.0	67.0	14.3	30.0	78.3243257232																																																													
1449	Transient Hearing Loss Within a Critical Period Causes Persistent Changes to Cellular Properties in Adult Auditory Cortex.	24554724	2015	Sanes DH	88596	36340.0	Neocortex pyramidal cell layer 2-3	Auditory Cortex layer 2-3 pyramidal cell	Auditory Cortex layer 2-3 pyramidal cell	[ABA_REGION:247, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]	Isocortex	True	Other	Other	Patch-clamp	in vitro	Unreported		32.0	23.0			The ACSF contained (in mM) 125 NaCl, 4 KCl, 1.2 KH2PO4, 1.3 MgSO4, 24 NaHCO3, 15 glucose, 2.4 CaCl2, and 0.4 l-ascorbic acid (pH 7.3) when bubbled with 95%O2-5%CO2).	5.0	1.3	2.4	149.0	133.8	5.2	7.3	The current clamp internal solution contained (in mM) 5 KCl, 127.5 K-gluconate, 10 HEPES, 2 MgCl2, 0.6 EGTA, 2 ATP, 0.3 GTP, and 5 phosphocreatine (pH 7.2 with KOH).	5.0	2.0		10.0	9.0	132.5	7.2		EP refers to ear plugs	141.0	141.0	12.0	24.0	58.7877538268		-64.5	-64.5	0.6	24.0	2.93938769134		-31.8	-31.8	1.2	24.0	5.87877538268		64.8		2.2	24.0	10.7777548682	Converted from other ephys properties	1.2	1.2	0.1	24.0	0.489897948557		11.5	11.5	1.2	24.0	5.87877538268																																																																																																								97.5	97.5	2.2	24.0	10.7777548682								1.4	1.4	0.1	24.0	0.489897948557																																																																																																																																																													
1450	Transient Hearing Loss Within a Critical Period Causes Persistent Changes to Cellular Properties in Adult Auditory Cortex.	24554724	2015	Sanes DH	88596	36340.0	Neocortex pyramidal cell layer 2-3	Auditory Cortex layer 2-3 pyramidal cell	Auditory Cortex layer 2-3 pyramidal cell	[ABA_REGION:247, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]	Isocortex	True	Other	Other	Patch-clamp	in vitro	Unreported		32.0	35.0			The ACSF contained (in mM) 125 NaCl, 4 KCl, 1.2 KH2PO4, 1.3 MgSO4, 24 NaHCO3, 15 glucose, 2.4 CaCl2, and 0.4 l-ascorbic acid (pH 7.3) when bubbled with 95%O2-5%CO2).	5.0	1.3	2.4	149.0	133.8	5.2	7.3	The current clamp internal solution contained (in mM) 5 KCl, 127.5 K-gluconate, 10 HEPES, 2 MgCl2, 0.6 EGTA, 2 ATP, 0.3 GTP, and 5 phosphocreatine (pH 7.2 with KOH).	5.0	2.0		10.0	9.0	132.5	7.2		EP refers to ear plugs	118.0	118.0	9.0	24.0	44.0908153701		-64.2	-64.2	0.5	24.0	2.44948974278		-32.5	-32.5	1.0	24.0	4.89897948557		67.4		1.3	24.0	6.36867333124	Converted from other ephys properties	1.0	1.0		24.0			8.4	8.4	0.8	24.0	3.91918358845																																																																																																								99.1	99.1	1.3	24.0	6.36867333124								1.3	1.3	0.1	24.0	0.489897948557																																																																																																																																																													
616	Functional Maturation of GABA Synapses During Postnatal Development of the Monkey Dorsolateral Prefrontal Cortex.	24904071	2015	Lewis DA	88491	36087.0	Neocortex pyramidal cell layer 2-3	Dorsolateral Prefrontal Cortex pyramidal cell layer 3 neuron	Dorsolateral Prefrontal Cortex pyramidal cell layer 3 neuron	[UNKN_REGION:34, ABA_REGION:714, HBP_MORPHOLOGY:0000001, Missing:cell, NeuronTrigger:cell, HBP_LAYER:0000003, NeuronTrigger:neuron]	Isocortex	True	Other	Other	Patch-clamp	in vitro	Unreported		31.0	40.249223595			Slices were placed in a recording chamber superfused at 2â3 mL/min with the following ACSF (mM): NaCl 126; KCl 2.5; Na2HPO4 1.2; NaHCO3 25; glucose 10; CaCl2 2; MgCl2 1; CNQX 0.01, bubbled with 95% O2/5% CO2	5.0	1.0	2.0	153.4	134.5	2.5		Recording pipettes had 3-5 MÎ© resistance when filled with the following solution (mM): CsCl 120; NaCl 10; ethyleneglycol-bis(2-aminoethylether)-N,N,Nâ²,Nâ²-tetra acetic acid (EGTA) 0.2; 4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid (HEPES) 10; MgATP 4; NaGTP 0.3, NaPhosphocreatine 14, biocytin 0.5%, pH 7.2-7.3.	5.0	4.0		10.6	130.0		7.25		Has both spike overshoot and spike amplitude, thoughts? Also, a lot of IPSC data, want confirmation this isn't just IPSC data, think it's not	79.1	79.1	9.9	8.0	28.001428535		-71.0	-71.0	2.0	8.0	5.65685424949		-46.0	-46.0	3.0	8.0	8.48528137424		81.0	81.0	4.0	8.0	11.313708499								24.5	24.5	1.4	8.0	3.95979797464		10.0	10.0	1.0	8.0	2.82842712475								1.46	1.46	0.06	8.0	0.169705627485																				0.91	91.0	0.03	8.0	0.0848528137424																										35.0	35.0	4.0	8.0	11.313708499																																																																																																																																																																																																													
617	Functional Maturation of GABA Synapses During Postnatal Development of the Monkey Dorsolateral Prefrontal Cortex.	24904071	2015	Lewis DA	88491	36087.0	Neocortex pyramidal cell layer 2-3	Dorsolateral Prefrontal Cortex pyramidal cell layer 3 neuron	Dorsolateral Prefrontal Cortex pyramidal cell layer 3 neuron	[UNKN_REGION:34, ABA_REGION:714, HBP_MORPHOLOGY:0000001, Missing:cell, NeuronTrigger:cell, HBP_LAYER:0000003, NeuronTrigger:neuron]	Isocortex	True	Other	Other	Patch-clamp	in vitro	Unreported		31.0	1012.00988137			Slices were placed in a recording chamber superfused at 2â3 mL/min with the following ACSF (mM): NaCl 126; KCl 2.5; Na2HPO4 1.2; NaHCO3 25; glucose 10; CaCl2 2; MgCl2 1; CNQX 0.01, bubbled with 95% O2/5% CO2	5.0	1.0	2.0	153.4	134.5	2.5		Recording pipettes had 3-5 MÎ© resistance when filled with the following solution (mM): CsCl 120; NaCl 10; ethyleneglycol-bis(2-aminoethylether)-N,N,Nâ²,Nâ²-tetra acetic acid (EGTA) 0.2; 4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid (HEPES) 10; MgATP 4; NaGTP 0.3, NaPhosphocreatine 14, biocytin 0.5%, pH 7.2-7.3.	5.0	4.0		10.6	130.0		7.25		Has both spike overshoot and spike amplitude, thoughts? Also, a lot of IPSC data, want confirmation this isn't just IPSC data, think it's not	71.0	71.0	20.1	8.0	56.8513852074		-70.0	-70.0	0.4	8.0	1.1313708499		-49.0	-49.0	1.0	8.0	2.82842712475		82.0	82.0	4.0	8.0	11.313708499								22.6	22.6	3.5	8.0	9.89949493661		7.5	7.5	1.0	8.0	2.82842712475								1.3	1.3	0.06	8.0	0.169705627485																				0.94	94.0	0.06	8.0	0.169705627485																										32.0	32.0	3.0	8.0	8.48528137424																																																																																																																																																																																																													
