Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,24,OKC,56,8,16.0,1.6,4.1,.384,1.1,3.0,.367,0.5,1.1,.429,.517,0.6,0.7,.872,0.4,1.3,1.7,0.4,0.5,0.1,0.4,1.7,4.9
2,Quincy Acy\acyqu01,PF,27,BRK,54,8,20.7,1.8,5.3,.336,1.4,4.2,.329,0.4,1.1,.361,.465,0.9,1.0,.821,0.7,3.5,4.1,0.8,0.5,0.4,1.0,2.1,5.8
3,Steven Adams\adamsst01,C,24,OKC,57,57,32.6,6.0,9.5,.631,0.0,0.0,.000,6.0,9.4,.634,.631,2.0,3.6,.571,5.1,3.9,9.1,1.0,1.2,1.1,1.5,2.9,14.0
4,Bam Adebayo\adebaba01,C,20,MIA,51,11,20.5,2.7,4.8,.551,0.0,0.1,.000,2.7,4.7,.564,.551,2.0,2.8,.732,1.6,3.8,5.4,1.6,0.5,0.6,0.9,2.1,7.4
5,Arron Afflalo\afflaar01,SG,32,ORL,45,2,12.8,1.2,3.0,.388,0.5,1.3,.386,0.7,1.7,.390,.470,0.4,0.5,.833,0.1,1.3,1.4,0.6,0.0,0.2,0.4,1.1,3.2
6,Cole Aldrich\aldrico01,C,29,MIN,15,0,2.1,0.2,0.7,.300,0.0,0.0,,0.2,0.7,.300,.300,0.1,0.3,.500,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.5,0.5
7,LaMarcus Aldridge\aldrila01,C,32,SAS,56,56,34.0,8.9,17.8,.502,0.4,1.4,.325,8.5,16.4,.516,.514,4.4,5.3,.838,3.3,5.0,8.3,2.1,0.5,1.2,1.5,2.2,22.8
8,Jarrett Allen\allenja01,C,19,BRK,52,11,18.5,3.2,5.4,.591,0.1,0.2,.333,3.1,5.2,.599,.596,1.4,1.8,.774,1.9,3.2,5.2,0.7,0.4,0.9,1.0,1.9,7.8
9,Kadeem Allen\allenka01,PG,25,BOS,7,0,3.9,0.1,0.9,.167,0.0,0.4,.000,0.1,0.4,.333,.167,0.4,0.6,.750,0.1,0.3,0.4,0.1,0.1,0.0,0.4,0.3,0.7
10,Tony Allen\allento01,SF,36,NOP,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506,.505,0.5,1.0,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
