numa,ida,numb,idb,kmdist,midist
2,USA,20,CAN,731,456
2,USA,31,BHM,1623,1012
2,USA,40,CUB,1813,1130
2,USA,41,HAI,2286,1425
2,USA,42,DOM,2358,1471
2,USA,51,JAM,2315,1444
2,USA,52,TRI,3494,2179
2,USA,53,BAR,3330,2076
2,USA,54,DMA,3208,2001
2,USA,55,GRN,3332,2078
2,USA,56,SLU,3180,1983
2,USA,57,SVG,3240,2020
2,USA,58,AAB,2834,1767
2,USA,60,SKN,2760,1721
2,USA,80,BLZ,2606,1625
2,USA,70,MEX,3024,1885
2,USA,90,GUA,2993,1866
2,USA,91,HON,2922,1822
2,USA,92,SAL,3024,1886
2,USA,93,NIC,3103,1935
2,USA,94,COS,3282,2047
2,USA,95,PAN,3325,2073
2,USA,100,COL,3808,2374
2,USA,101,VEN,3349,2088
2,USA,110,GUY,4009,2500
2,USA,115,SUR,4273,2664
2,USA,130,ECU,4314,2690
2,USA,135,PER,5651,3523
2,USA,140,BRA,6722,4192
2,USA,145,BOL,6170,3847
2,USA,150,PAR,7383,4604
2,USA,155,CHL,8015,4997
2,USA,160,ARG,8318,5187
2,USA,165,URU,8382,5226
2,USA,200,UK,5932,3699
2,USA,205,IRE,5445,3395
2,USA,210,NTH,6198,3865
2,USA,211,BEL,6246,3894
2,USA,212,LUX,6381,3979
2,USA,220,FRN,6194,3862
2,USA,221,MNC,6752,4210
2,USA,223,LIE,6727,4195
2,USA,225,SWZ,6629,4134
2,USA,230,SPN,6105,3806
2,USA,232,AND,6383,3980
2,USA,235,POR,5759,3591
2,USA,255,GMY,6739,4202
2,USA,260,GFR,6432,4011
2,USA,265,GDR,6739,4202
2,USA,290,POL,7197,4488
2,USA,300,AUH,7130,4446
2,USA,305,AUS,7130,4446
2,USA,310,HUN,7368,4594
2,USA,315,CZE,6905,4305
2,USA,316,CZR,6905,4305
2,USA,317,SLO,7183,4479
2,USA,325,ITA,7273,4535
2,USA,331,SNM,7104,4430
2,USA,338,MLT,7727,4818
2,USA,339,ALB,7777,4849
2,USA,345,SER,7635,4760
2,USA,341,MNG,7654,4773
2,USA,343,MAC,7833,4884
2,USA,344,CRO,7275,4536
2,USA,345,YUG,7635,4760
2,USA,346,BOS,7562,4715
2,USA,349,SLV,7122,4441
2,USA,350,GRC,8244,5141
2,USA,352,CYP,9119,5686
2,USA,355,BUL,7952,4958
2,USA,359,MLD,7970,4969
2,USA,360,RUM,8006,4992
2,USA,365,RUS,7873,4909
2,USA,366,EST,6981,4353
2,USA,367,LAT,7126,4444
2,USA,368,LIT,7320,4564
2,USA,369,UKR,7858,4900
2,USA,370,BLR,7500,4676
2,USA,371,ARM,9418,5872
2,USA,372,GRG,9433,5882
2,USA,373,AZE,9708,6053
2,USA,375,FIN,6934,4324
2,USA,380,SWD,6647,4145
2,USA,385,NOR,6260,3903
2,USA,390,DEN,6535,4075
2,USA,395,ICE,4526,2822
2,USA,402,CAP,5715,3564
2,USA,403,STP,9412,5869
2,USA,404,GNB,6761,4216
2,USA,411,EQG,9602,5987
2,USA,420,GAM,6540,4078
2,USA,432,MLI,7353,4585
2,USA,433,SEN,6400,3991
2,USA,434,BEN,8686,5416
2,USA,435,MAA,6270,3909
2,USA,436,NIR,8166,5092
2,USA,437,CDI,7994,4984
2,USA,438,GUI,7073,4410
2,USA,439,BFO,7917,4937
2,USA,450,LBR,7527,4693
2,USA,451,SIE,7172,4472
