No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
54,Bryson Albright\AlbrBr00,23,,7,0,225,6-5,Miami (OH),3/15/1994,Rook,0,,$246177
36,Budda Baker*+\BakeBu00,21,ss,16,7,195,0-0,Washington,1/10/1996,Rook,9,Arizona Cardinals / 2nd / 36th pick / 2017,$465000
64,Khalif Barnes\BarnKh20,35,,3,0,305,6-6,Washington,4/21/1982,12,0,Jacksonville Jaguars / 2nd / 52nd pick / 2005,$176471
41,Antoine Bethea\BethAn20,33,db,15,6,203,5-11,Howard,7/27/1984,11,4,Indianapolis Colts / 6th / 207th pick / 2006,$2000000
28,Justin Bethel\BethJu00,27,rcb,16,6,200,6-0,Presbyterian,6/17/1990,5,3,Arizona Cardinals / 6th / 177th pick / 2012,$2000000
70,Evan Boehm\BoehEv00,24,RG,15,8,310,6-2,Missouri,8/19/1993,1,4,Arizona Cardinals / 4th / 128th pick / 2016,$540000
75,Alex Boone\BoonAl21,30,LG,14,13,330,6-7,Ohio St.,5/4/1987,7,5,,$1400000
27,Tyvon Branch\BranTy99,31,ss,9,9,197,5-11,Connecticut,12/11/1986,9,3,Oakland Raiders / 4th / 100th pick / 2008,$1000000
46,Aaron Brewer\BrewAa00,27,,8,0,225,6-5,San Diego St.,7/5/1990,5,0,,$775000
13,Jaron Brown\BrowJa03,27,WR,16,8,205,6-2,Clemson,1/8/1990,4,3,,$775000
12,John Brown\BrowJo02,27,wr,10,5,179,0-0,Pittsburg St.,4/3/1990,3,2,Arizona Cardinals / 3rd / 91st pick / 2014,$1797000
20,Deone Bucannon\BucaDe00,25,LB,12,12,220,6-1,Washington St.,8/30/1992,3,6,Arizona Cardinals / 1st / 27th pick / 2014,$1471255
51,Josh Bynes\ByneJo00,28,lb,14,1,239,6-1,Auburn,8/24/1989,6,2,,$775000
56,Karlos Dansby\DansKa20,36,LB,16,15,243,6-4,Auburn,11/3/1981,13,8,Arizona Cardinals / 2nd / 33rd pick / 2004,$1000000
4,Phil Dawson\dawsophi01,42,K,16,0,195,5-11,Texas,1/23/1975,18,2,,$2000000
,Jim Dray\DrayJi00,31,,1,0,253,6-5,Stanford,12/31/1986,7,0,Arizona Cardinals / 7th / 233rd pick / 2010,
49,Justin Drescher\DresJu20,29,,8,0,230,6-1,Colorado,1/1/1988,7,0,,$635292
38,Andre Ellington\ElliAn00,28,,8,0,199,5-10,Clemson,2/3/1989,4,2,Arizona Cardinals / 6th / 187th pick / 2013,$775000
11,Larry Fitzgerald*\FitzLa00,34,WR,16,16,225,6-3,Pittsburgh,8/31/1983,13,8,Arizona Cardinals / 1st / 3rd pick / 2004,$11000000
30,Rudy Ford\FordRu00,23,,10,0,205,5-11,Auburn,11/1/1994,Rook,1,Arizona Cardinals / 6th / 208th pick / 2017,$465000
37,D.J. Foster\FostD.01,24,,7,0,195,6-0,Arizona St.,11/22/1993,1,1,,$508235
7,Blaine Gabbert\GabbBl00,28,qb,5,5,235,6-5,Missouri,10/15/1989,6,2,Jacksonville Jaguars / 1st / 10th pick / 2011,$900000
10,Brittan Golden\GoldBr00,29,,13,0,186,5-11,West Texas A&M,7/20/1988,5,1,,$690000
44,Markus Golden\GoldMa00,26,lb,4,4,255,6-2,Missouri,3/13/1991,2,2,Arizona Cardinals / 2nd / 58th pick / 2015,$791212
42,C.J. Goodwin\GoodC.00,27,,2,0,190,6-3,California (PA),2/4/1990,3,0,,$540000
84,Jermaine Gresham\GresJe00,29,TE,14,14,261,6-5,Oklahoma,6/16/1988,7,2,Cincinnati Bengals / 1st / 21st pick / 2010,$2000000
