POS,BIB,ATHLETE,COUNTRY,MARK,RxnTime,Race,Round,Gender,Year
1,,Usain BOLT,JAMJAM,10.20 Q,0.186,100 m,Heats,M,2008
2,,Daniel BAILEY,ANTANT,10.24 Q,0.198,100 m,Heats,M,2008
3,,Vicente DE LIMA,BRABRA,10.26 Q,0.168,100 m,Heats,M,2008
4,,Henry VIZCAÍNO,CUBCUB,10.28 q,0.157,100 m,Heats,M,2008
5,,Fabio CERUTTI,ITAITA,10.49,0.136,100 m,Heats,M,2008
6,,Jurgen THEMEN,SURSUR,10.61,0.179,100 m,Heats,M,2008
7,,Moses KAMUT,VANVAN,10.81,0.181,100 m,Heats,M,2008
8,,Francis MANIORU,SOLSOL,11.09,0.197,100 m,Heats,M,2008
1,,Asafa POWELL,JAMJAM,10.16 Q,0.142,100 m,Heats,M,2008
2,,Kim COLLINS,SKNSKN,10.17 Q,0.162,100 m,Heats,M,2008
3,,Craig PICKERING,GBRGBR,10.21 Q,0.174,100 m,Heats,M,2008
4,,Daniel GRUESO,COLCOL,10.35 q,0.178,100 m,Heats,M,2008
5,,Dariusz KUC,POLPOL,10.44 q,0.144,100 m,Heats,M,2008
6,,Berenger Aymard BOSSE,CAFCAF,10.51,0.144,100 m,Heats,M,2008
7,,Aisea TOHI,TGATGA,11.17,0.159,100 m,Heats,M,2008
8,,Roman CRESS,MHLMHL,11.18,0.19,100 m,Heats,M,2008
1,,Richard THOMPSON,TTOTTO,10.24 Q,0.188,100 m,Heats,M,2008
2,,Martial MBANDJOCK,FRAFRA,10.26 Q,0.162,100 m,Heats,M,2008
3,,Simone COLLIO,ITAITA,10.32 Q,0.14,100 m,Heats,M,2008
4,,Aziz ZAKARI,GHAGHA,10.34 q,0.177,100 m,Heats,M,2008
5,,Andrew HINDS,BARBAR,10.35 q,0.14,100 m,Heats,M,2008
6,,Suryo Agung WIBOWO,INAINA,10.46,0.175,100 m,Heats,M,2008
7,,Jared LEWIS,VINVIN,11,0.123,100 m,Heats,M,2008
8,,Rabangaki NAWAI,KIRKIR,11.29,0.152,100 m,Heats,M,2008
1,,Michael FRATER,JAMJAM,10.15 Q,0.156,100 m,Heats,M,2008
2,,Pierre BROWNE,CANCAN,10.22 Q,0.141,100 m,Heats,M,2008
3,,Darrel BROWN,TTOTTO,10.22 Q,0.139,100 m,Heats,M,2008
4,,Nobuharu ASAHARA,JPNJPN,10.25 q,0.16,100 m,Heats,M,2008
5,,Holder DA SILVA,GBSGBS,10.58,0.184,100 m,Heats,M,2008
6,,Idrissa SANOU,BURBUR,10.63,0.171,100 m,Heats,M,2008
7,,Ghyd Kermeliss OLONGHOT,CGOCGO,11.01,0.172,100 m,Heats,M,2008
8,,Massoud AZIZI,AFGAFG,11.45,0.16,100 m,Heats,M,2008
1,,Tyson GAY,USAUSA,10.22 Q,0.148,100 m,Heats,M,2008
2,,Olusoji A. FASUBA,NGRNGR,10.29 Q,0.156,100 m,Heats,M,2008
3,,José Carlos MOREIRA,BRABRA,10.29 Q,0.192,100 m,Heats,M,2008
4,,Ángel David RODRÍGUEZ,ESPESP,10.34 q,0.145,100 m,Heats,M,2008
5,,Lukáš MILO,CZECZE,10.52,0.145,100 m,Heats,M,2008
6,,Mhadjou YOUSSOUF,COMCOM,10.62,0.17,100 m,Heats,M,2008
7,,Danny D'SOUZA,SEYSEY,11,0.18,100 m,Heats,M,2008
8,,Shanahan SANITOA,ASAASA,12.6,0.158,100 m,Heats,M,2008
1,,Tyrone EDGAR,GBRGBR,10.13 Q,0.138,100 m,Heats,M,2008
2,,Darvis PATTON,USAUSA,10.25 Q,0.149,100 m,Heats,M,2008
3,,Ronald POGNON,FRAFRA,10.26 Q,0.167,100 m,Heats,M,2008
4,,Kai HU,CHNCHN,10.39 q,0.152,100 m,Heats,M,2008
5,,Abdullah AL-SOOLI,OMAOMA,10.53,0.153,100 m,Heats,M,2008
6,,Desislav GUNEV,BULBUL,10.66,0.152,100 m,Heats,M,2008
7,,Ali SHAREEF,MDVMDV,11.11,0.171,100 m,Heats,M,2008
8,,Souksavanh TONSACKTHEVA,LAOLAO,11.51,0.183,100 m,Heats,M,2008
1,,Francis OBIKWELU,PORPOR,10.25 Q,0.19,100 m,Heats,M,2008
2,,Obinna METU,NGRNGR,10.34 Q,0.176,100 m,Heats,M,2008
3,,Walter DIX,USAUSA,10.35 Q,0.167,100 m,Heats,M,2008
4,,Anson HENRY,CANCAN,10.37 q,0.138,100 m,Heats,M,2008
5,,Dmytro HLUSHCHENKO,UKRUKR,10.57,0.2,100 m,Heats,M,2008
6,,Calvin KANG LI LOONG,SGPSGP,10.73,0.14,100 m,Heats,M,2008
7,,Jesse TAMANGROW,PLWPLW,11.38,0.146,100 m,Heats,M,2008
8,,Reginaldo MICHA NDONG,GEQGEQ,11.61,0.242,100 m,Heats,M,2008
1,,Derrick ATKINS,BAHBAH,10.28 Q,0.162,100 m,Heats,M,2008
2,,Andrey EPISHIN,RUSRUS,10.34 Q,0.172,100 m,Heats,M,2008
3,,Jaysuma SAIDY NDURE,NORNOR,10.37 Q,0.164,100 m,Heats,M,2008
4,,Uchenna EMEDOLU,NGRNGR,10.46 q,0.192,100 m,Heats,M,2008
5,,Suwaibou SANNEH,GAMGAM,10.52,0.157,100 m,Heats,M,2008
6,,Sandro VIANA,BRABRA,10.6,0.16,100 m,Heats,M,2008
7,,Chun Ho LAI,HKGHKG,10.63,0.199,100 m,Heats,M,2008
8,,Mohamed ABU ABDULLAH,BANBAN,11.07,0.174,100 m,Heats,M,2008
1,,Marc BURNS,TTOTTO,10.46 Q,0.16,100 m,Heats,M,2008
2,,Matic OSOVNIKAR,SLOSLO,10.46 Q,0.187,100 m,Heats,M,2008
3,,Rolando PALACIOS,HONHON,10.49,0.189,100 m,Heats,M,2008
4,,Ruslan ABBASOV,AZEAZE,10.58,0.154,100 m,Heats,M,2008
5,,Sébastien GATTUSO,MONMON,10.7,0.164,100 m,Heats,M,2008
6,,Jack HOWARD,FSMFSM,11.03,0.204,100 m,Heats,M,2008
7,,Gordon Teokotai HEATHER,COKCOK,11.41,0.214,100 m,Heats,M,2008
,,Samuel FRANCIS,QATQAT,DQ,0.153,100 m,Heats,M,2008
1,,Churandy MARTINA,AHOAHO,10.35 Q,0.164,100 m,Heats,M,2008
2,,Naoki TSUKAHARA,JPNJPN,10.39 Q,0.169,100 m,Heats,M,2008
3,,Simeon WILLIAMSON,GBRGBR,10.42 Q,0.183,100 m,Heats,M,2008
4,,Tobias UNGER,GERGER,10.46 q,0.161,100 m,Heats,M,2008
5,,Franklin NAZARENO,ECUECU,10.6,0.178,100 m,Heats,M,2008
6,,Wilfried BINGANGOYE,GABGAB,10.87,0.171,100 m,Heats,M,2008
7,,Moumi SEBERGUE,CHACHA,11.14,0.21,100 m,Heats,M,2008
8,,Okilani TINILAU,TUVTUV,11.48,0.174,100 m,Heats,M,2008
1,,Churandy MARTINA,AHOAHO,9.99 Q,0.142,100 m,Quarter,M,2008
2,,Michael FRATER,JAMJAM,10.09 Q,0.154,100 m,Quarter,M,2008
3,,Naoki TSUKAHARA,JPNJPN,10.23 Q,0.156,100 m,Quarter,M,2008
4,,Simeon WILLIAMSON,GBRGBR,10.32,0.127,100 m,Quarter,M,2008
5,,Henry VIZCAÍNO,CUBCUB,10.33,0.167,100 m,Quarter,M,2008
6,,Pierre BROWNE,CANCAN,10.36,0.144,100 m,Quarter,M,2008
7,,Dariusz KUC,POLPOL,10.46,0.176,100 m,Quarter,M,2008
8,,Darrel BROWN,TTOTTO,10.93,0.119,100 m,Quarter,M,2008
1,,Richard THOMPSON,TTOTTO,9.99 Q,0.17,100 m,Quarter,M,2008
2,,Tyson GAY,USAUSA,10.09 Q,0.146,100 m,Quarter,M,2008
3,,Martial MBANDJOCK,FRAFRA,10.16 Q,0.16,100 m,Quarter,M,2008
4,,Olusoji A. FASUBA,NGRNGR,10.21,0.147,100 m,Quarter,M,2008
5,,Andrew HINDS,BARBAR,10.25,0.148,100 m,Quarter,M,2008
6,,José Carlos MOREIRA,BRABRA,10.32,0.193,100 m,Quarter,M,2008
7,,Simone COLLIO,ITAITA,10.33,0.138,100 m,Quarter,M,2008
8,,Daniel GRUESO,COLCOL,10.37,0.193,100 m,Quarter,M,2008
1,,Marc BURNS,TTOTTO,10.05 Q,0.174,100 m,Quarter,M,2008
2,,Kim COLLINS,SKNSKN,10.07 Q,0.15,100 m,Quarter,M,2008
3,,Tyrone EDGAR,GBRGBR,10.10 Q,0.13,100 m,Quarter,M,2008
4,,Ronald POGNON,FRAFRA,10.21,0.167,100 m,Quarter,M,2008
5,,Matic OSOVNIKAR,SLOSLO,10.24,0.171,100 m,Quarter,M,2008
6,,Tobias UNGER,GERGER,10.36,0.136,100 m,Quarter,M,2008
7,,Nobuharu ASAHARA,JPNJPN,10.37,0.145,100 m,Quarter,M,2008
,,Samuel FRANCIS,QATQAT,DQ,0.164,100 m,Quarter,M,2008
1,,Usain BOLT,JAMJAM,9.92 Q,0.165,100 m,Quarter,M,2008
2,,Darvis PATTON,USAUSA,10.04 Q,0.159,100 m,Quarter,M,2008
3,,Francis OBIKWELU,PORPOR,10.09 Q,0.168,100 m,Quarter,M,2008
4,,Jaysuma SAIDY NDURE,NORNOR,10.14,0.133,100 m,Quarter,M,2008
5,,Craig PICKERING,GBRGBR,10.18,0.144,100 m,Quarter,M,2008
6,,Obinna METU,NGRNGR,10.27,0.174,100 m,Quarter,M,2008
7,,Anson HENRY,CANCAN,10.33,0.142,100 m,Quarter,M,2008
8,,Ángel David RODRÍGUEZ,ESPESP,10.35,0.154,100 m,Quarter,M,2008
1,,Asafa POWELL,JAMJAM,10.02 Q,0.149,100 m,Quarter,M,2008
2,,Walter DIX,USAUSA,10.08 Q,0.163,100 m,Quarter,M,2008
3,,Derrick ATKINS,BAHBAH,10.14 Q,0.179,100 m,Quarter,M,2008
4,,Daniel BAILEY,ANTANT,10.23,0.149,100 m,Quarter,M,2008
5,,Aziz ZAKARI,GHAGHA,10.24,0.167,100 m,Quarter,M,2008
6,,Andrey EPISHIN,RUSRUS,10.25,0.158,100 m,Quarter,M,2008
7,,Vicente DE LIMA,BRABRA,10.31,0.157,100 m,Quarter,M,2008
8,,Kai HU,CHNCHN,10.4,0.165,100 m,Quarter,M,2008
1,,Usain BOLT,JAMJAM,9.85 Q,0.161,100 m,Semi,M,2008
2,,Walter DIX,USAUSA,9.95 Q,0.143,100 m,Semi,M,2008
3,,Marc BURNS,TTOTTO,9.97 Q,0.124,100 m,Semi,M,2008
4,,Michael FRATER,JAMJAM,10.01 Q,0.163,100 m,Semi,M,2008
5,,Kim COLLINS,SKNSKN,10.05,0.163,100 m,Semi,M,2008
6,,Derrick ATKINS,BAHBAH,10.13,0.159,100 m,Semi,M,2008
7,,Tyrone EDGAR,GBRGBR,10.18,0.143,100 m,Semi,M,2008
